,precision,recall,f1-score,support
0.4mm leak,0.6754098360655738,0.7228070175438597,0.6983050847457627,285.0
2mm leak,0.6973180076628352,0.6385964912280702,0.6666666666666666,285.0
4mm leak,0.75,0.6842105263157895,0.7155963302752294,285.0
no Leak,0.8471337579617835,0.9333333333333333,0.8881469115191987,285.0
accuracy,0.7447368421052631,0.7447368421052631,0.7447368421052631,0.7447368421052631
macro avg,0.7424654004225482,0.7447368421052631,0.7421787483017144,1140.0
weighted avg,0.742465400422548,0.7447368421052631,0.7421787483017144,1140.0
