,precision,recall,f1-score,support
0.4mm leak,0.7421203438395415,0.9087719298245615,0.8170347003154574,285.0
2mm leak,0.7685185185185185,0.5824561403508772,0.6626746506986028,285.0
4mm leak,0.726643598615917,0.7368421052631579,0.7317073170731707,285.0
no Leak,0.9895104895104895,0.9929824561403509,0.9912434325744308,285.0
accuracy,0.8052631578947368,0.8052631578947368,0.8052631578947368,0.8052631578947368
macro avg,0.8066982376211166,0.8052631578947369,0.8006650251654154,1140.0
weighted avg,0.8066982376211166,0.8052631578947368,0.8006650251654155,1140.0
